ENROLLMENT;TUITION PAYMENT MARCH 2022;TUITION PAYMENT MARCH 2023;GENDER;TYPE OF EDUCATIONAL INSTITUTION;EDUCATIONAL INSTITUTION;INSTITUTION STATUS;DEPARTMENT;PROVINCE;DISTRICT;CLASSIFICATION;CAMPUS;FACULTY;PROGRAM/MAJOR;SHIFT/SCHEDULE;BENEFIT DISCOUNTS;STUDY MODE;AGE RANGE OF ENROLLED STUDENT;DISABILITY;NUMBER OF ENROLLED COURSES;AT-RISK COURSE
Nuevo;1;1;M;COLEGIO;20325 SAN JOSE DE MANZANARES;ESTATAL;LIMA;HUAURA;HUACHO;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO (80/20);MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;1;1
Nuevo;0;0;F;COLEGIO;TUPAC AMARU;ESTATAL;LIMA;LIMA;SAN LUIS;Carreras Pregrado;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE EMPRESAS;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;4;0
Nuevo;0;0;M;COLEGIO;SAN JUAN;ESTATAL;LA LIBERTAD;TRUJILLO;TRUJILLO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. MECATRONICA;MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Nuevo;0;0;M;INSTITUTO;LA UNIVERSIDAD;PRIVADA;LIMA;LIMA;EL AGUSTINO;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO (80/20);MIXTO;SIN BENEFICIO;Virtual;5. >=30;No;1;0
Nuevo;0;0;F;COLEGIO;GLORIOSOS HUSARES DE JUNIN;ESTATAL;LIMA;LIMA;EL AGUSTINO;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS E INFORMÁTICA (80/20);MAÑANA;SIN BENEFICIO;Presencial;5. >=30;No;0;0
Nuevo;0;0;F;;Zegel;;LIMA;LIMA;SAN MARTIN DE PORRES;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE EMPRESAS (80/20);MIXTO;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Nuevo;0;0;M;COLEGIO;REINO DE LOS CIELOS;PRIVADA;LIMA;LIMA;SAN MARTIN DE PORRES;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SOFTWARE;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;0;0
Nuevo;0;0;F;COLEGIO;MARISCAL CACERES;ESTATAL;LIMA;LIMA;PACHACAMAC;Carreras Pregrado;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS INTERNACIO;NOCHE;SIN BENEFICIO;Presencial;2. 19-20;No;0;0
Nuevo;1;1;M;;UNIVERSIDADCONTINENTALSOCIED;;JUNIN;HUANCAYO;EL TAMBO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. ELECTRICA Y DE POTENCIA;NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Nuevo;0;0;F;;SERVICIO EDUCATIVO EMPRESARIAL;;LIMA;LIMA;CHORRILLOS;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;ADMINISTRACION DE NEGOCIOS (50/50);MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
