ENROLLMENT;TUITION PAYMENT MARCH 2022;TUITION PAYMENT MARCH 2023;GENDER;TYPE OF EDUCATIONAL INSTITUTION;EDUCATIONAL INSTITUTION;INSTITUTION STATUS;DEPARTMENT;PROVINCE;DISTRICT;CLASSIFICATION;CAMPUS;FACULTY;PROGRAM/MAJOR;SHIFT/SCHEDULE;BENEFIT DISCOUNTS;STUDY MODE;AGE RANGE OF ENROLLED STUDENT;DISABILITY;NUMBER OF ENROLLED COURSES;AT-RISK COURSE
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;MIRAFLORES;Carreras Pregrado 50-50;UTP Arequipa;Fac. Hum y CC Soc;PSICOLOGÍA (50/50);MAÑANA;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Reinscrito;1;1;F;INSTITUTO;HONORIO DELGADO ESPINOZA;ESTATAL;AREQUIPA;AREQUIPA;PAUCARPATA;Carreras Pregrado;UTP Arequipa;Fac. Adm. Y Neg.;ADM. DE EMPRESAS;NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;2;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;AREQUIPA;Carreras Pregrado;UTP Arequipa;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS INTERNACIO;MAÑANA;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;M;COLEGIO;RAFAEL LOAYZA GUEVARA;ESTATAL;AREQUIPA;AREQUIPA;CERRO COLORADO;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. CIVIL;MAÑANA;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Reinscrito;1;1;M;INSTITUTO;PEDRO P. DIAZ;ESTATAL;AREQUIPA;AREQUIPA;PAUCARPATA;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. CIVIL;NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;2;0
Reinscrito;0;0;M;;;;AREQUIPA;AREQUIPA;JACOBO HUNTER;Carreras Pregrado 80-20;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL (80/20);MAÑANA;SIN BENEFICIO;Virtual;3. 21-23;No;3;0
Reinscrito;1;1;M;;;;MOQUEGUA;ILO;ILO;Carreras Pregrado 50-50;UTP Arequipa;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS INTERNACIO;NOCHE;SIN BENEFICIO;Virtual;3. 21-23;No;3;0
Reinscrito;1;1;M;COLEGIO;WILLIAM MORRIS;PRIVADA;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Carreras Pregrado;UTP Arequipa;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;1;1
Reinscrito;0;0;M;;;;AREQUIPA;AREQUIPA;CERRO COLORADO;Carreras Pregrado 80-20;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL (80/20);NOCHE;SIN BENEFICIO;Remoto;3. 21-23;No;2;0
Reinscrito;0;0;F;;;;AREQUIPA;AREQUIPA;AREQUIPA;Carreras Pregrado 50-50;UTP Arequipa;Fac. Ing. Ind. Y Mec.;INGENIERÍA CIVIL;MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Reinscrito;1;1;M;COLEGIO;ALEXANDER FLEMING;PRIVADA;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;Carreras Pregrado;UTP Arequipa;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;1;1
Reinscrito;1;1;M;COLEGIO;40070 SANTA ISABEL DE HUNGRIA;ESTATAL;AREQUIPA;AREQUIPA;SOCABAYA;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. CIVIL;MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;2;0
Reinscrito;1;1;F;COLEGIO;41026 MARIA MURILLO DE BERNAL;ESTATAL;AREQUIPA;AREQUIPA;AREQUIPA;Carreras Pregrado;UTP Arequipa;Fac. Adm. Y Neg.;ADM. Y MARKETING;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;CAYMA;Carreras Pregrado;UTP Arequipa;Fac. Hum y CC Soc;PSICOLOGIA;MIXTO;SIN BENEFICIO;Virtual;3. 21-23;No;2;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;CERRO COLORADO;Carreras Pregrado 50-50;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. DE SEGUR. INDUST. Y MINER (50/50);NOCHE;SIN BENEFICIO;Virtual;3. 21-23;No;3;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Carreras Pregrado 50-50;UTP Arequipa;Fac. Ing. Sist. Y Elect.;ING. MECATRONICA;MAÑANA;SIN BENEFICIO;Presencial;5. >=30;No;2;0
Reinscrito;1;1;F;COLEGIO;CEBA - ANDRES BELLO;PRIVADA;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;Carreras Pregrado;UTP Arequipa;Fac. Hum y CC Soc;PSICOLOGIA;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;M;;;;AREQUIPA;CAMANA;JOSE MARIA QUIMPER;Carreras Pregrado 50-50;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. MECANICA;NOCHE;SIN BENEFICIO;Virtual;3. 21-23;No;1;1
Reinscrito;1;1;M;;;;CUSCO;CALCA;CALCA;Carreras Pregrado;UTP Arequipa;Fac. Adm. Y Neg.;ADM. Y MARKETING;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;0;0;F;COLEGIO;LICEE JEAN BAPTISTE LAMARCK;PRIVADA;AREQUIPA;AREQUIPA;UCHUMAYO;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ARQUITECTURA;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;3;3
Reinscrito;1;1;U;COLEGIO;AREQUIPA;ESTATAL;AREQUIPA;AREQUIPA;CERRO COLORADO;Carreras Pregrado;UTP Arequipa;Fac. Contabilidad;CONTABILIDAD;MAÑANA;SIN BENEFICIO;Presencial;4. 24-29;No;0;0
Reinscrito;1;1;M;INSTITUTO;ESCUELA SUPERIOR PRIVADA DE TE;PRIVADA;LIMA;LIMA;PUENTE PIEDRA;Carreras PPE;UTP Arequipa;Fac. Ing. Ind. Y Mec.;INGENIERIA INDUSTRIAL;MIXTO;SIN BENEFICIO;Presencial;5. >=30;No;1;0
Reinscrito;1;1;F;COLEGIO;SAN MARTIN DE SOCABAYA;ESTATAL;AREQUIPA;AREQUIPA;SOCABAYA;Carreras Pregrado;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;CAYMA;Carreras Pregrado;UTP Arequipa;Fac. Adm. Y Neg.;ADM. BANCA Y FINANZAS;MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;1;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;Carreras Pregrado 80-20;UTP Arequipa;Fac. Adm. Y Neg.;ADM. DE EMPRESAS (80/20);NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;2;2
Reinscrito;1;1;F;COLEGIO;SAN IGNACIO DE RECALDE;PRIVADA;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;Carreras Pregrado;UTP Arequipa;Fac. Hum y CC Soc;PSICOLOGIA;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;M;INSTITUTO;IBEROAMERICANO;PRIVADA;AREQUIPA;AREQUIPA;CERRO COLORADO;Carreras Pregrado;UTP Arequipa;Fac. Ing. Sist. Y Elect.;ING. MECATRONICA;NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;2;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Carreras Pregrado 50-50;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO (50/50);NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;3;3
Reinscrito;1;1;F;;;;AREQUIPA;CAMANA;SAMUEL PASTOR;Carreras Pregrado 80-20;UTP Arequipa;Fac. Adm. Y Neg.;ADM. DE EMPRESAS (80/20);MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;F;COLEGIO;IBEROAMERICANO;PRIVADA;AREQUIPA;AREQUIPA;MARIANO MELGAR;Carreras Pregrado;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MIXTO;SIN BENEFICIO;Virtual;3. 21-23;No;1;0
Reinscrito;0;0;M;COLEGIO;MILITAR FRANCISCO BOLOGNESI;ESTATAL;AREQUIPA;AREQUIPA;CAYMA;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL;MIXTO;SIN BENEFICIO;Virtual;4. 24-29;No;1;1
Reinscrito;0;0;F;;;;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Carreras Pregrado 80-20;UTP Arequipa;Fac. Adm. Y Neg.;ADM. DE EMPRESAS (80/20);NOCHE;SIN BENEFICIO;Virtual;3. 21-23;No;1;0
Reinscrito;1;1;M;INSTITUTO;ESCUELA SUPERIOR PRIVADA DE TE;PRIVADA;AREQUIPA;AREQUIPA;CERRO COLORADO;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL;NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;2;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;PAUCARPATA;Carreras Pregrado 80-20;UTP Arequipa;Fac. Contabilidad;CONTABILIDAD (80/20);NOCHE;SIN BENEFICIO;Remoto;3. 21-23;No;1;0
Reinscrito;1;1;M;COLEGIO;INDEPENDENCIA AMERICANA;ESTATAL;AREQUIPA;AREQUIPA;JACOBO HUNTER;Carreras Pregrado;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MAÑANA;SIN BENEFICIO;Virtual;3. 21-23;No;2;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;AREQUIPA;Carreras Pregrado 80-20;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO (80/20);MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;1;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;AREQUIPA;Carreras Pregrado 50-50;UTP Arequipa;Fac. Adm. Y Neg.;ADMINISTRACION Y MARKETING;MIXTO;SIN BENEFICIO;Remoto;3. 21-23;No;1;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;TIABAYA;Carreras Pregrado;UTP Arequipa;Fac. Hum y CC Soc;PSICOLOGIA;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;PAUCARPATA;Carreras PPE;UTP Arequipa;Fac. Adm. Y Neg.;ADMINISTRACION Y NEGOCIOS;NOCHE;SIN BENEFICIO;Presencial;5. >=30;No;0;0
Reinscrito;1;1;F;COLEGIO;SANTA ROSA DE VITERBO;PRIVADA;AREQUIPA;AREQUIPA;CAYMA;Carreras Pregrado;UTP Arequipa;Fac. Adm. Y Neg.;ADM. Y MARKETING;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;1;0
Reinscrito;1;1;M;INSTITUTO;MARIA MONTESSORI;PRIVADA;AREQUIPA;AREQUIPA;JACOBO HUNTER;Carreras Pregrado;UTP Arequipa;Fac. Hum y CC Soc;PSICOLOGIA;MIXTO;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Carreras Pregrado 50-50;UTP Arequipa;Fac. Hum y CC Soc;PSICOLOGÍA (50/50);MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;4;0
Reinscrito;0;0;F;;;;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Carreras Pregrado 50-50;UTP Arequipa;Fac. Ing. Ind. Y Mec.;INGENIERÍA CIVIL (50/50);MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Reinscrito;1;1;F;INSTITUTO;ALAS PERUANAS;PRIVADA;AREQUIPA;AREQUIPA;MIRAFLORES;Carreras Pregrado;UTP Arequipa;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS INTERNACIO;MAÑANA;SIN BENEFICIO;Presencial;4. 24-29;No;1;1
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;PAUCARPATA;Carreras Pregrado 80-20;UTP Arequipa;Fac. Hum y CC Soc;PSICOLOGIA (80/20);MAÑANA;SIN BENEFICIO;Virtual;3. 21-23;No;3;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;MARIANO MELGAR;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ARQUITECTURA;NOCHE;SIN BENEFICIO;Virtual;2. 19-20;No;1;0
Reinscrito;1;1;F;COLEGIO;LA RECOLETA;PRIVADA;AREQUIPA;AREQUIPA;TIABAYA;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL;MIXTO;SIN BENEFICIO;Virtual;4. 24-29;No;2;0
Reinscrito;1;0;M;;;;AREQUIPA;AREQUIPA;SOCABAYA;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Reinscrito;1;1;M;COLEGIO;FISCALIZADO DANIEL ALCIDES CAR;PRIVADA;AREQUIPA;AREQUIPA;JACOBO HUNTER;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. DE SEGUR. INDUST. Y MINER;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Carreras Pregrado;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MAÑANA;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Reinscrito;1;1;F;;;;AREQUIPA;CAMANA;OCONA;Carreras Pregrado 80-20;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL (80/20);MAÑANA;SIN BENEFICIO;Virtual;3. 21-23;No;3;0
Reinscrito;1;1;F;COLEGIO;NUESTRA SEÑORA DE LA ASUNCION;ESTATAL;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Carreras Pregrado;UTP Arequipa;Fac. Hum y CC Soc;PSICOLOGIA;MAÑANA;SIN BENEFICIO;Presencial;2. 19-20;No;1;0
Reinscrito;1;1;F;;;;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;Carreras Pregrado 50-50;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. DE SEGUR. INDUST. Y MINER (50/50);MIXTO;SIN BENEFICIO;Virtual;3. 21-23;No;2;0
Reinscrito;1;1;M;COLEGIO;56175 SAGRADO CORAZON DE JESUS;ESTATAL;AREQUIPA;AREQUIPA;JACOBO HUNTER;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. CIVIL;MIXTO;SIN BENEFICIO;Virtual;3. 21-23;No;1;1
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;MARIANO MELGAR;Carreras Pregrado 80-20;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO (80/20);NOCHE;SIN BENEFICIO;Virtual;3. 21-23;No;3;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;CERRO COLORADO;Carreras Pregrado 80-20;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL (80/20);MIXTO;SIN BENEFICIO;Virtual;4. 24-29;No;3;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;MIRAFLORES;Carreras Pregrado 80-20;UTP Arequipa;Fac. Adm. Y Neg.;ADM. DE EMPRESAS (80/20);NOCHE;SIN BENEFICIO;Virtual;3. 21-23;No;3;0
Reinscrito;0;0;M;UNIVERSIDAD;UNIVERSIDADPRIVADASANJUANB;PRIVADA;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Carreras Pregrado;UTP Arequipa;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS INTERNACIO;MAÑANA;SIN BENEFICIO;Virtual;4. 24-29;No;1;0
Reinscrito;1;1;F;COLEGIO;MENDEL;PRIVADA;AREQUIPA;AREQUIPA;UCHUMAYO;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Reinscrito;1;1;M;COLEGIO;VICTOR MANUEL TORRES CACERES;ESTATAL;AREQUIPA;AREQUIPA;SOCABAYA;Carreras Pregrado;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO;NOCHE;SIN BENEFICIO;Presencial;2. 19-20;No;2;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;SANTA ISABEL DE SIGUAS;Carreras Pregrado 80-20;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO (80/20);MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Reinscrito;1;1;F;COLEGIO;BRYCE S.A.C.;PRIVADA;;;;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. DE SEGUR. INDUST. Y MINER;MAÑANA;SIN BENEFICIO;Presencial;2. 19-20;No;2;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;SACHACA;Carreras Pregrado;UTP Arequipa;Fac. Adm. Y Neg.;ADM. Y MARKETING;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;Carreras Pregrado 80-20;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL (80/20);MIXTO;SIN BENEFICIO;Virtual;4. 24-29;No;3;0
Reinscrito;1;1;M;COLEGIO;ANGEL DE LA GUARDA;ESTATAL;AREQUIPA;CAMANA;SAMUEL PASTOR;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ARQUITECTURA;MIXTO;SIN BENEFICIO;Virtual;4. 24-29;No;1;1
Reinscrito;1;1;F;COLEGIO;AUDAZ DEL CASTILLO;ESTATAL;CUSCO;CANAS;LANGUI;Carreras Pregrado;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Reinscrito;1;1;M;COLEGIO;JOYCE;PRIVADA;AREQUIPA;AREQUIPA;JACOBO HUNTER;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL;MIXTO;SIN BENEFICIO;Virtual;4. 24-29;No;1;0
Reinscrito;1;1;F;COLEGIO;INTERNACIONAL ELIM;PRIVADA;AREQUIPA;AREQUIPA;PAUCARPATA;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ARQUITECTURA;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Reinscrito;1;1;F;;;;AREQUIPA;CAMANA;SAMUEL PASTOR;Carreras Pregrado 80-20;UTP Arequipa;Fac. Hum y CC Soc;PSICOLOGIA (80/20);NOCHE;SIN BENEFICIO;Virtual;3. 21-23;No;3;0
Reinscrito;0;0;F;;;;AREQUIPA;AREQUIPA;UCHUMAYO;Carreras Pregrado 80-20;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO (80/20);MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;1;0
Reinscrito;1;1;M;COLEGIO;NUESTRA SEÑORA DE LA MERCED;PRIVADA;PUNO;PUNO;PUNO;Carreras Pregrado;UTP Arequipa;Fac. Ing. Sist. Y Elect.;ING. MECATRONICA;MAÑANA;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Reinscrito;1;1;M;COLEGIO;FRANCISCO FLORES BERRUEZO;ESTATAL;AREQUIPA;CARAVELI;BELLA UNION;Carreras Pregrado;UTP Arequipa;Fac. Adm. Y Neg.;ADM. DE EMPRESAS;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;1;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;JACOBO HUNTER;Carreras Pregrado 50-50;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO (50/50);MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;SOCABAYA;Carreras Pregrado 80-20;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL (80/20);MIXTO;SIN BENEFICIO;Virtual;3. 21-23;No;4;0
Reinscrito;1;1;F;UNIVERSIDAD;UNIVERSIDAD;ESTATAL;AREQUIPA;AREQUIPA;SACHACA;Carreras Pregrado;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO;NOCHE;SIN BENEFICIO;Presencial;5. >=30;No;2;0
Reinscrito;1;0;M;;;;AREQUIPA;AREQUIPA;CERRO COLORADO;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. MECANICA;MAÑANA;SIN BENEFICIO;Virtual;3. 21-23;No;1;1
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;CAYMA;Carreras Pregrado 50-50;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ARQUITECTURA;MAÑANA;SIN BENEFICIO;Presencial;3. 21-23;No;1;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;CHARACATO;Carreras Pregrado 50-50;UTP Arequipa;Fac. Ing. Sist. Y Elect.;ING. MECATRONICA;MAÑANA;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;AREQUIPA;Carreras Pregrado 50-50;UTP Arequipa;Fac. Ing. Sist. Y Elect.;ING. MECATRONICA;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;1;1
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;Carreras Pregrado;UTP Arequipa;Fac. Adm. Y Neg.;ADM. Y MARKETING;MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;1;0
Reinscrito;1;1;F;INSTITUTO;PEDRO P. DIAZ;ESTATAL;;;;Carreras PPE;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO;NOCHE;SIN BENEFICIO;Presencial;5. >=30;No;1;0
Reinscrito;1;1;M;COLEGIO;41008 MANUEL MUÑOZ NAJAR;ESTATAL;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Carreras Pregrado;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MIXTO;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Reinscrito;1;1;M;COLEGIO;Universidad Católica de Santa;ESTATAL;AREQUIPA;AREQUIPA;MARIANO MELGAR;Carreras PPE;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MIXTO;SIN BENEFICIO;Presencial;5. >=30;No;0;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;AREQUIPA;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL;MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;4;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;PAUCARPATA;Carreras Pregrado;UTP Arequipa;Fac. Contabilidad;CONTABILIDAD;MAÑANA;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;CAYMA;Carreras Pregrado 50-50;UTP Arequipa;Fac. Contabilidad;CONTABILIDAD FINANCIERA (50/50);;SIN BENEFICIO;Por calcular;4. 24-29;No;0;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;CERRO COLORADO;Carreras Pregrado 50-50;UTP Arequipa;Fac. Hum y CC Soc;PSICOLOGÍA (50/50);MAÑANA;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;MIRAFLORES;Carreras Pregrado 50-50;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. DE SEGUR. INDUST. Y MINER (50/50);MAÑANA;SIN BENEFICIO;Virtual;3. 21-23;No;2;0
Reinscrito;1;1;F;COLEGIO;40075 HORACIO MORALES DELGADO;ESTATAL;AREQUIPA;AREQUIPA;CERRO COLORADO;Carreras Pregrado;UTP Arequipa;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS INTERNACIO;MAÑANA;SIN BENEFICIO;Presencial;3. 21-23;No;1;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Carreras Pregrado 80-20;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL (80/20);MIXTO;SIN BENEFICIO;Remoto;3. 21-23;No;3;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;CERRO COLORADO;Carreras Pregrado 50-50;UTP Arequipa;Fac. Adm. Y Neg.;ADMINISTRACION Y MARKETING;NOCHE;SIN BENEFICIO;Virtual;3. 21-23;No;1;0
Reinscrito;1;1;M;INSTITUTO;ESCUELA SUPERIOR PRIVADA DE TE;PRIVADA;AREQUIPA;AREQUIPA;CAYMA;Carreras Pregrado;UTP Arequipa;Fac. Ing. Sist. Y Elect.;ING. MECATRONICA;MAÑANA;SIN BENEFICIO;Presencial;4. 24-29;No;2;0
Reinscrito;1;1;F;;;;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Carreras Pregrado 50-50;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. DE SEGUR. INDUST. Y MINER (50/50);MAÑANA;SIN BENEFICIO;Virtual;4. 24-29;No;2;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;AREQUIPA;Carreras Pregrado 50-50;UTP Arequipa;Fac. Ing. Ind. Y Mec.;INGENIERÍA CIVIL (50/50);MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;1;1
Reinscrito;1;1;M;COLEGIO;SEÑOR DE LA ESPERANZA;PRIVADA;AREQUIPA;AREQUIPA;YURA;Carreras Pregrado;UTP Arequipa;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;M;;;;AREQUIPA;AREQUIPA;CHARACATO;Carreras Pregrado 80-20;UTP Arequipa;Fac. Der. Cienc. Polit. Y RRII;DERECHO (80/20);MAÑANA;SIN BENEFICIO;Virtual;3. 21-23;No;3;0
