PROV_NM,SUBM,Teacher_Gender,ACHIEVEMENTS1,MIDTERM1,FINAL1,NAT_MARK,Year-DOB,Month-DOB,NAT_MARK_range,NAT_MARK_range_encoded
2,1,1,29.0,14.0,29.0,43.2,2007,4,0-60,0
2,1,1,29.0,20.0,37.0,52.9,2007,8,0-60,0
2,1,1,30.0,20.0,43.0,53.7,2007,3,0-60,0
2,1,1,28.0,17.0,45.0,56.1,2007,8,0-60,0
2,1,1,27.0,18.0,25.0,46.1,2007,4,0-60,0
2,1,1,28.0,18.0,38.0,44.2,2007,7,0-60,0
2,1,1,27.0,15.0,27.0,35.2,2008,1,0-60,0
2,1,1,28.0,18.0,34.0,41.1,2007,8,0-60,0
2,1,1,30.0,20.0,30.0,43.2,2007,5,0-60,0
2,1,1,29.0,18.0,35.0,46.1,2007,12,0-60,0
2,1,1,28.0,16.0,31.0,43.2,2007,2,0-60,0
2,1,1,27.0,16.0,42.0,49.7,2007,5,0-60,0
2,1,1,26.0,14.0,35.0,47.0,2007,6,0-60,0
2,1,1,30.0,20.0,46.0,51.3,2007,8,0-60,0
2,1,1,23.0,12.0,26.0,44.2,2007,6,0-60,0
2,1,1,27.0,15.0,38.0,38.9,2007,3,0-60,0
2,1,1,30.0,20.0,30.0,42.2,2007,2,0-60,0
2,1,1,30.0,19.0,37.0,40.0,2007,8,0-60,0
2,1,1,28.0,16.0,36.0,44.2,2007,12,0-60,0
2,1,1,29.0,18.0,50.0,62.7,2007,8,60-70,1
2,1,1,30.0,20.0,48.0,66.3,2007,4,60-70,1
2,1,1,28.0,10.0,25.0,38.9,2007,11,0-60,0
2,1,1,30.0,20.0,50.0,47.0,2007,7,0-60,0
2,1,1,30.0,20.0,48.0,56.1,2007,10,0-60,0
2,1,1,30.0,17.0,33.0,45.2,2007,7,0-60,0
2,1,1,30.0,20.0,47.0,58.3,2005,2,0-60,0
2,1,1,30.0,20.0,50.0,50.5,2007,3,0-60,0
2,1,1,27.0,16.0,25.0,46.1,2007,8,0-60,0
2,1,1,30.0,20.0,49.0,56.8,2007,3,0-60,0
2,1,1,25.0,12.0,12.0,33.8,2007,1,0-60,0
2,1,1,21.0,3.0,8.0,37.7,2007,9,0-60,0
2,1,1,28.0,18.0,34.0,41.1,2007,8,0-60,0
2,1,1,27.0,16.0,40.0,35.2,2007,9,0-60,0
2,1,1,24.0,12.0,31.0,35.2,2007,7,0-60,0
2,1,1,29.0,18.0,41.0,48.8,2007,3,0-60,0
2,1,1,27.0,17.0,36.0,40.0,2007,7,0-60,0
2,1,1,30.0,20.0,44.0,44.2,2007,4,0-60,0
2,1,1,28.0,9.0,29.0,49.7,2007,2,0-60,0
2,1,1,24.0,13.0,39.0,57.6,2007,3,0-60,0
2,1,1,30.0,19.0,43.0,56.8,2007,2,0-60,0
2,1,1,24.0,13.0,38.0,43.2,2007,6,0-60,0
2,1,1,24.0,12.0,27.0,38.9,2007,12,0-60,0
2,1,1,28.0,15.0,28.0,43.2,2007,12,0-60,0
2,1,1,30.0,20.0,46.0,48.8,2007,4,0-60,0
2,1,1,29.0,14.0,41.0,53.7,2007,9,0-60,0
2,1,1,29.0,16.0,39.0,51.3,2008,1,0-60,0
2,1,1,24.0,9.0,27.0,40.0,2008,1,0-60,0
2,1,1,30.0,20.0,45.0,63.4,2007,9,60-70,1
2,1,1,24.0,12.0,24.0,40.0,2007,8,0-60,0
2,1,1,26.0,10.0,24.0,42.2,2007,5,0-60,0
2,1,1,25.0,12.0,35.0,32.4,2007,10,0-60,0
2,1,1,28.0,17.0,35.0,42.2,2007,7,0-60,0
2,1,1,26.0,15.0,26.0,51.3,2007,8,0-60,0
2,1,1,29.0,16.0,35.0,47.9,2007,12,0-60,0
2,1,1,28.0,20.0,32.0,42.2,2007,4,0-60,0
2,1,1,29.0,20.0,48.0,51.3,2007,1,0-60,0
2,1,1,26.0,15.0,42.0,48.8,2007,3,0-60,0
2,1,1,27.0,17.0,16.0,37.7,2007,12,0-60,0
2,1,1,27.0,16.0,37.0,45.2,2007,7,0-60,0
2,1,1,29.0,20.0,31.0,41.1,2007,8,0-60,0
2,1,1,27.0,7.0,26.0,27.6,2007,3,0-60,0
2,1,1,28.0,10.0,22.0,27.6,2007,11,0-60,0
2,1,1,30.0,19.0,41.0,49.7,2007,3,0-60,0
2,1,1,28.0,18.0,43.0,46.1,2007,10,0-60,0
2,1,1,30.0,20.0,36.0,44.2,2008,1,0-60,0
2,1,1,29.0,19.0,36.0,49.7,2007,11,0-60,0
2,1,1,28.0,16.0,38.0,47.0,2007,4,0-60,0
2,1,1,24.0,14.0,44.0,47.0,2007,7,0-60,0
2,1,1,30.0,19.0,43.0,51.3,2007,1,0-60,0
2,1,1,30.0,20.0,50.0,55.3,2007,8,0-60,0
2,1,1,29.0,19.0,45.0,46.1,2007,1,0-60,0
2,1,1,28.0,17.0,28.0,49.7,2007,5,0-60,0
2,1,1,22.0,8.0,15.0,33.8,2007,9,0-60,0
2,1,1,27.0,17.0,36.0,41.1,2007,12,0-60,0
2,1,1,29.0,18.0,44.0,56.1,2007,9,0-60,0
2,1,1,29.0,19.0,45.0,47.9,2007,8,0-60,0
2,1,1,27.0,14.0,33.0,38.9,2007,6,0-60,0
2,1,1,26.0,15.0,33.0,45.2,2007,9,0-60,0
2,1,1,30.0,20.0,46.0,55.3,2007,8,0-60,0
2,1,1,28.0,9.0,16.0,44.2,2007,9,0-60,0
2,1,1,23.0,12.0,28.0,49.7,2007,3,0-60,0
2,1,1,25.0,12.0,30.0,47.0,2007,8,0-60,0
2,1,1,27.0,18.0,35.0,40.0,2005,10,0-60,0
2,1,1,30.0,20.0,50.0,67.0,2007,3,60-70,1
2,1,1,25.0,4.0,6.0,30.9,2007,5,0-60,0
2,1,1,27.0,17.0,40.0,48.8,2007,10,0-60,0
2,1,1,30.0,20.0,36.0,49.7,2007,8,0-60,0
2,1,1,29.0,19.0,35.0,56.8,2007,1,0-60,0
2,1,1,28.0,18.0,35.0,41.1,2007,7,0-60,0
2,1,1,24.0,10.0,17.0,43.2,2007,3,0-60,0
2,1,1,26.0,14.0,32.0,27.6,2007,11,0-60,0
2,1,1,29.0,17.0,44.0,56.1,2007,4,0-60,0
2,1,1,29.0,17.0,47.0,54.5,2007,4,0-60,0
2,1,1,26.0,14.0,31.0,49.7,2007,8,0-60,0
2,1,1,24.0,14.0,25.0,38.9,2007,10,0-60,0
2,1,1,29.0,20.0,42.0,47.0,2007,3,0-60,0
2,1,1,23.0,12.0,35.0,44.2,2007,4,0-60,0
2,1,1,26.0,13.0,30.0,36.5,2007,4,0-60,0
2,1,1,24.0,15.0,35.0,41.1,2008,1,0-60,0
2,1,1,30.0,20.0,44.0,47.9,2007,7,0-60,0
2,1,1,29.0,18.0,41.0,40.0,2007,6,0-60,0
2,1,1,28.0,12.0,35.0,41.1,2007,10,0-60,0
2,1,1,27.0,18.0,35.0,52.9,2007,12,0-60,0
2,1,1,26.0,12.0,36.0,45.2,2007,6,0-60,0
2,1,1,29.0,15.0,36.0,48.8,2007,4,0-60,0
2,1,1,28.0,18.0,45.0,46.1,2007,7,0-60,0
2,1,1,26.0,15.0,43.0,52.9,2007,4,0-60,0
2,1,1,24.0,8.0,28.0,45.2,2007,10,0-60,0
2,1,1,25.0,8.0,17.0,36.5,2007,8,0-60,0
2,1,1,30.0,20.0,35.0,50.5,2007,10,0-60,0
2,1,1,27.0,10.0,27.0,35.2,2007,9,0-60,0
2,1,1,24.0,17.0,14.0,30.9,2006,8,0-60,0
2,1,1,26.0,14.0,30.0,44.2,2007,11,0-60,0
2,1,1,29.0,18.0,42.0,43.2,2008,4,0-60,0
2,1,1,27.0,16.0,42.0,40.0,2008,1,0-60,0
2,1,1,28.0,18.0,35.0,49.7,2007,8,0-60,0
2,1,1,25.0,12.0,23.0,42.2,2007,9,0-60,0
2,1,1,30.0,20.0,44.0,55.3,2007,9,0-60,0
2,1,1,29.0,15.0,30.0,43.2,2007,12,0-60,0
2,1,1,26.0,15.0,32.0,47.0,2007,4,0-60,0
2,1,1,25.0,17.0,18.0,32.4,2007,2,0-60,0
2,1,1,28.0,17.0,35.0,51.3,2007,8,0-60,0
2,1,1,27.0,15.0,30.0,45.2,2007,4,0-60,0
2,1,1,30.0,17.0,30.0,37.7,2007,6,0-60,0
2,1,1,30.0,19.0,41.0,57.6,2007,12,0-60,0
2,1,1,29.0,18.0,36.0,42.2,2007,12,0-60,0
2,1,1,30.0,20.0,41.0,56.8,2007,9,0-60,0
2,1,1,26.0,14.0,30.0,36.5,2008,1,0-60,0
2,1,1,29.0,19.0,32.0,52.9,2007,3,0-60,0
2,1,1,29.0,19.0,42.0,57.6,2008,1,0-60,0
2,1,1,28.0,17.0,41.0,49.7,2007,6,0-60,0
2,1,1,28.0,12.0,33.0,38.9,2007,12,0-60,0
2,1,1,27.0,15.0,32.0,47.0,2007,4,0-60,0
2,1,1,28.0,17.0,35.0,43.2,2007,7,0-60,0
2,1,1,30.0,17.0,35.0,41.1,2006,5,0-60,0
2,1,1,27.0,15.0,38.0,49.7,2008,1,0-60,0
2,1,1,30.0,20.0,49.0,66.3,2008,1,60-70,1
2,1,1,29.0,17.0,35.0,45.2,2007,3,0-60,0
2,1,1,28.0,16.0,38.0,40.0,2007,6,0-60,0
2,1,1,27.0,17.0,40.0,50.5,2007,9,0-60,0
2,1,1,29.0,18.0,41.0,50.5,2007,10,0-60,0
2,1,1,30.0,20.0,38.0,56.8,2007,11,0-60,0
2,1,1,30.0,19.0,43.0,52.1,2007,2,0-60,0
2,1,1,29.0,17.0,38.0,51.3,2007,7,0-60,0
2,1,1,24.0,12.0,29.0,47.9,2006,10,0-60,0
2,1,1,29.0,19.0,45.0,49.7,2007,6,0-60,0
2,1,1,30.0,19.0,45.0,50.5,2007,10,0-60,0
2,1,1,26.0,14.0,32.0,38.9,2006,1,0-60,0
2,1,1,30.0,20.0,41.0,56.8,2007,10,0-60,0
2,1,1,30.0,20.0,47.0,67.7,2007,11,60-70,1
2,1,1,30.0,20.0,48.0,57.6,2007,12,0-60,0
2,1,1,24.0,10.0,26.0,35.2,2007,4,0-60,0
2,1,1,28.0,18.0,34.0,48.8,2007,6,0-60,0
2,1,1,27.0,17.0,41.0,40.0,2007,12,0-60,0
2,1,1,27.0,16.0,37.0,45.2,2007,6,0-60,0
2,1,1,27.0,15.0,39.0,36.5,2007,12,0-60,0
2,1,1,29.0,20.0,49.0,49.7,2007,8,0-60,0
2,1,1,30.0,20.0,37.0,50.5,2007,3,0-60,0
2,1,1,30.0,18.0,45.0,42.2,2007,5,0-60,0
2,1,1,26.0,7.0,20.0,21.4,2006,5,0-60,0
2,1,1,30.0,20.0,43.0,58.3,2007,10,0-60,0
2,1,1,30.0,20.0,44.0,55.3,2008,1,0-60,0
2,1,1,27.0,19.0,42.0,43.2,2007,3,0-60,0
2,1,1,28.0,16.0,29.0,51.3,2007,11,0-60,0
2,1,1,26.0,12.0,22.0,40.0,2007,7,0-60,0
2,1,1,27.0,16.0,38.0,43.2,2007,9,0-60,0
2,1,1,29.0,16.0,37.0,47.0,2007,11,0-60,0
2,1,1,27.0,12.0,21.0,32.4,2007,12,0-60,0
2,1,1,26.0,12.0,29.0,48.8,2007,8,0-60,0
2,1,1,29.0,20.0,38.0,58.3,2007,4,0-60,0
2,1,1,30.0,20.0,48.0,60.5,2007,11,60-70,1
2,1,1,28.0,17.0,47.0,49.7,2007,5,0-60,0
2,1,1,28.0,16.0,37.0,50.5,2004,1,0-60,0
2,1,1,27.0,14.0,19.0,0.0,2007,10,0-60,0
2,1,1,28.0,15.0,37.0,49.7,2007,5,0-60,0
2,1,1,27.0,17.0,36.0,48.8,2007,6,0-60,0
2,1,1,26.0,14.0,29.0,36.5,2007,11,0-60,0
2,1,1,29.0,16.0,37.0,35.2,2007,3,0-60,0
2,1,1,27.0,14.0,19.0,38.9,2007,10,0-60,0
2,1,1,30.0,19.0,44.0,40.0,2007,8,0-60,0
2,1,1,24.0,8.0,28.0,38.9,2007,11,0-60,0
2,1,1,28.0,7.0,30.0,42.2,2007,8,0-60,0
2,1,1,26.0,17.0,24.0,45.2,2007,7,0-60,0
2,1,1,26.0,15.0,35.0,41.1,2007,10,0-60,0
2,1,1,28.0,19.0,40.0,43.2,2007,10,0-60,0
2,1,1,30.0,19.0,44.0,0.0,2007,10,0-60,0
2,1,1,29.0,19.0,39.0,52.9,2007,5,0-60,0
2,1,1,30.0,20.0,50.0,72.9,2007,3,70-80,2
2,1,1,29.0,18.0,36.0,47.9,2007,1,0-60,0
2,1,1,30.0,20.0,38.0,44.2,2007,8,0-60,0
2,1,1,28.0,9.0,23.0,32.4,2007,9,0-60,0
2,1,1,29.0,16.0,43.0,59.0,2007,2,0-60,0
2,1,1,30.0,18.0,47.0,61.9,2007,9,60-70,1
2,1,1,30.0,20.0,49.0,57.6,2007,8,0-60,0
2,1,1,29.0,18.0,35.0,40.0,2007,9,0-60,0
2,1,1,30.0,19.0,39.0,52.1,2007,8,0-60,0
2,1,1,28.0,14.0,24.0,43.2,2007,8,0-60,0
2,1,1,27.0,14.0,30.0,45.2,2007,3,0-60,0
2,1,1,29.0,13.0,38.0,36.5,2007,6,0-60,0
2,1,1,27.0,16.0,37.0,44.2,2007,9,0-60,0
2,1,1,21.0,4.0,16.0,32.4,2007,7,0-60,0
2,1,1,0.0,0.0,51.0,0.0,2009,50,0-60,0
2,1,1,30.0,19.0,31.0,25.7,2007,3,0-60,0
2,1,1,29.0,19.0,44.0,51.3,2007,12,0-60,0
2,1,1,29.0,14.0,37.0,45.2,2007,3,0-60,0
2,1,1,30.0,20.0,44.0,64.1,2007,4,60-70,1
2,1,1,25.0,2.0,26.0,37.7,2007,12,0-60,0
2,1,1,30.0,19.0,41.0,56.8,2007,2,0-60,0
2,1,1,25.0,15.0,32.0,46.1,2007,7,0-60,0
2,1,1,30.0,18.0,47.0,52.9,2008,1,0-60,0
2,1,1,29.0,15.0,36.0,46.1,2007,5,0-60,0
2,1,1,29.0,19.0,37.0,50.5,2007,12,0-60,0
2,1,1,28.0,19.0,37.0,46.1,2007,3,0-60,0
2,1,1,30.0,20.0,41.0,55.3,2007,8,0-60,0
2,1,1,28.0,18.0,44.0,46.1,2007,7,0-60,0
2,1,1,27.0,16.0,37.0,54.5,2007,12,0-60,0
2,1,1,27.0,14.0,33.0,36.5,2008,1,0-60,0
2,1,1,28.0,18.0,43.0,48.8,2007,9,0-60,0
2,1,1,30.0,20.0,45.0,58.3,2007,7,0-60,0
2,1,1,28.0,16.0,36.0,41.1,2007,7,0-60,0
2,1,1,27.0,6.0,8.0,0.0,2006,9,0-60,0
2,1,1,29.0,19.0,18.0,51.3,2008,1,0-60,0
2,1,1,29.0,19.0,26.0,33.8,2007,3,0-60,0
2,1,1,27.0,15.0,33.0,58.3,2007,1,0-60,0
2,1,1,29.0,19.0,47.0,59.8,2007,10,0-60,0
2,1,1,24.0,12.0,30.0,40.0,2007,11,0-60,0
2,1,1,27.0,18.0,35.0,41.1,2007,11,0-60,0
2,1,1,27.0,12.0,22.0,27.6,2007,6,0-60,0
2,1,1,29.0,18.0,44.0,47.9,2007,2,0-60,0
2,1,1,30.0,20.0,45.0,50.5,2007,2,0-60,0
2,1,1,25.0,12.0,32.0,46.1,2007,6,0-60,0
2,1,1,30.0,19.0,44.0,55.3,2007,8,0-60,0
2,1,1,30.0,20.0,48.0,58.3,2007,7,0-60,0
2,1,1,27.0,14.0,19.0,30.9,2007,3,0-60,0
2,1,1,26.0,13.0,27.0,42.2,2006,11,0-60,0
2,1,1,30.0,20.0,32.0,44.2,2007,6,0-60,0
2,1,1,28.0,7.0,25.0,27.6,2006,12,0-60,0
2,1,1,27.0,15.0,29.0,51.3,2007,4,0-60,0
2,1,1,29.0,17.0,36.0,47.0,2007,4,0-60,0
2,1,1,26.0,8.0,26.0,43.2,2007,3,0-60,0
2,1,1,30.0,20.0,48.0,57.6,2007,6,0-60,0
2,1,1,27.0,12.0,21.0,40.0,2007,2,0-60,0
2,1,1,21.0,6.0,13.0,35.2,2007,11,0-60,0
2,1,1,19.0,1.0,8.0,25.7,2007,12,0-60,0
2,1,1,29.0,20.0,38.0,53.7,2007,9,0-60,0
2,1,1,28.0,13.0,29.0,33.8,2007,4,0-60,0
2,1,1,29.0,15.0,27.0,43.2,2007,7,0-60,0
2,1,1,30.0,20.0,45.0,64.1,2007,10,60-70,1
2,1,1,30.0,20.0,42.0,53.7,2007,5,0-60,0
2,1,1,30.0,20.0,48.0,52.9,2007,2,0-60,0
2,1,1,26.0,13.0,35.0,40.0,2007,2,0-60,0
